iter	Passed	Remaining
759	2686	848
760	2689	844
761	2692	841
762	2696	837
763	2700	834
764	2704	830
765	2708	827
766	2711	823
767	2715	820
768	2719	816
769	2722	813
770	2727	810
771	2731	806
772	2734	802
773	2738	799
774	2741	795
775	2745	792
776	2749	789
777	2754	785
778	2758	782
779	2761	778
780	2764	775
781	2768	771
782	2772	768
783	2775	764
784	2778	761
785	2781	757
786	2785	753
787	2787	750
788	2790	746
789	2794	742
790	2797	739
791	2800	735
792	2803	731
793	2806	728
794	2809	724
795	2813	720
796	2816	717
797	2819	713
798	2823	710
799	2826	706
800	2830	703
801	2833	699
802	2845	697
803	2847	694
804	2851	690
805	2854	687
806	2857	683
807	2861	680
808	2865	676
809	2868	672
810	2872	669
811	2875	665
812	2879	662
813	2883	658
814	2887	655
815	2891	651
816	2894	648
817	2897	644
818	2900	640
819	2903	637
820	2906	633
821	2909	630
822	2912	626
823	2916	622
824	2919	619
825	2922	615
826	2926	612
827	2929	608
828	2932	604
829	2936	601
830	2939	597
831	2942	594
832	2945	590
833	2949	586
834	2952	583
835	2955	579
836	2961	576
837	2965	573
838	2968	569
839	2971	566
840	2976	562
841	2979	559
842	2982	555
843	2986	551
844	2989	548
845	2992	544
846	2996	541
847	3001	538
848	3005	534
849	3008	530
850	3012	527
851	3015	523
852	3018	520
853	3021	516
854	3026	513
855	3029	509
856	3032	505
857	3035	502
858	3039	498
859	3042	495
860	3045	491
861	3049	488
862	3052	484
863	3055	480
864	3058	477
865	3061	473
866	3065	470
867	3069	466
868	3073	463
869	3076	459
870	3080	456
871	3083	452
872	3086	449
873	3089	445
874	3094	442
875	3097	438
876	3101	435
877	3105	431
878	3108	427
879	3111	424
880	3115	420
881	3118	417
882	3121	413
883	3124	410
884	3127	406
885	3130	402
886	3133	399
887	3137	395
888	3140	392
889	3143	388
890	3146	384
891	3149	381
892	3154	377
893	3157	374
894	3160	370
895	3165	367
896	3183	365
897	3186	361
898	3190	358
899	3194	354
900	3197	351
901	3200	347
902	3204	344
903	3207	340
904	3212	337
905	3215	333
906	3219	330
907	3222	326
908	3227	323
909	3230	319
910	3234	315
911	3237	312
912	3241	308
913	3244	305
914	3247	301
915	3251	298
916	3254	294
917	3258	291
918	3275	288
919	3279	285
920	3282	281
921	3286	278
922	3290	274
923	3293	270
924	3297	267
925	3301	263
926	3304	260
927	3307	256
928	3310	252
929	3313	249
930	3316	245
931	3319	242
932	3322	238
933	3325	235
934	3329	231
935	3331	227
936	3334	224
937	3338	220
938	3341	217
939	3344	213
940	3347	209
941	3351	206
942	3354	202
943	3357	199
944	3361	195
945	3364	192
946	3367	188
947	3371	184
948	3374	181
949	3377	177
950	3381	174
951	3387	170
952	3390	167
953	3394	163
954	3397	160
955	3400	156
956	3404	152
957	3407	149
958	3410	145
959	3413	142
960	3417	138
961	3421	135
962	3425	131
963	3429	128
964	3432	124
965	3435	120
966	3450	117
967	3453	114
968	3456	110
969	3459	106
970	3462	103
971	3465	99
972	3468	96
973	3471	92
974	3474	89
